iter	Passed	Remaining
959	6370	59989
960	6376	59976
961	6382	59966
962	6389	59956
963	6395	59944
964	6402	59945
965	6408	59935
966	6414	59921
967	6422	59922
968	6428	59913
969	6435	59905
970	6441	59896
971	6448	59893
972	6454	59883
973	6461	59879
974	6467	59866
975	6473	59854
976	6480	59847
977	6487	59843
978	6493	59835
979	6499	59823
980	6505	59813
981	6512	59802
982	6518	59793
983	6524	59781
984	6530	59769
985	6536	59757
986	6542	59747
987	6549	59742
988	6555	59730
989	6561	59718
990	6568	59710
991	6574	59698
992	6580	59689
993	6586	59680
994	6593	59670
995	6598	59654
996	6605	59644
997	6612	59642
998	6618	59636
999	6626	59634
1000	6632	59628
1001	6639	59622
1002	6645	59611
1003	6652	59604
1004	6658	59593
1005	6665	59588
1006	6671	59579
1007	6677	59569
1008	6683	59559
1009	6689	59543
1010	6695	59530
1011	6701	59515
1012	6707	59506
1013	6714	59503
1014	6720	59490
1015	6727	59486
1016	6734	59484
1017	6740	59473
1018	6747	59467
1019	6753	59455
1020	6759	59446
1021	6766	59439
1022	6772	59425
1023	6778	59413
1024	6784	59405
1025	6790	59396
1026	6797	59390
1027	6803	59381
1028	6810	59371
1029	6816	59364
1030	6822	59349
1031	6828	59341
1032	6834	59330
1033	6842	59332
1034	6849	59326
1035	6855	59319
1036	6861	59307
1037	6867	59290
1038	6873	59280
1039	6879	59270
1040	6885	59257
1041	6891	59243
1042	6897	59234
1043	6903	59220
1044	6909	59212
1045	6916	59207
1046	6922	59194
1047	6928	59181
1048	6934	59168
1049	6940	59159
1050	6947	59155
1051	6953	59141
1052	6959	59129
1053	6965	59119
1054	6971	59108
1055	6977	59095
1056	6983	59084
1057	6989	59071
1058	6995	59058
1059	7002	59055
1060	7008	59048
1061	7014	59035
1062	7020	59026
1063	7026	59013
1064	7033	59004
1065	7040	59002
1066	7046	58990
1067	7052	58977
1068	7058	58966
1069	7063	58952
1070	7070	58943
1071	7076	58934
1072	7082	58922
1073	7088	58910
1074	7094	58901
1075	7100	58889
1076	7107	58887
1077	7113	58877
1078	7120	58872
1079	7127	58863
1080	7133	58859
1081	7140	58851
1082	7146	58840
1083	7153	58834
1084	7159	58826
1085	7166	58822
1086	7172	58813
1087	7178	58802
1088	7184	58790
1089	7190	58779
1090	7196	58768
1091	7203	58762
1092	7209	58753
1093	7215	58742
1094	7221	58729
1095	7227	58718
1096	7233	58702
1097	7238	58689
1098	7245	58678
1099	7251	58668
1100	7257	58656
1101	7263	58647
1102	7269	58637
1103	7276	58637
1104	7283	58632
1105	7289	58620
1106	7296	58612
1107	7302	58603
1108	7309	58600
1109	7315	58591
1110	7322	58585
1111	7329	58586
1112	7336	58582
1113	7343	58574
1114	7349	58568
1115	7356	58564
1116	7363	58559
1117	7369	58548
1118	7375	58537
1119	7381	58527
1120	7387	58515
1121	7395	58516
1122	7401	58510
1123	7408	58504
1124	7415	58502
1125	7423	58503
1126	7430	58499
1127	7437	58494
1128	7443	58485
1129	7449	58474
1130	7456	58470
1131	7463	58470
1132	7470	58462
1133	7477	58457
1134	7483	58448
1135	7489	58440
1136	7496	58436
1137	7503	58428
1138	7509	58417
1139	7515	58409
1140	7521	58399
1141	7528	58391
1142	7534	58380
1143	7540	58371
1144	7546	58363
1145	7552	58352
1146	7558	58337
1147	7564	58326
1148	7571	58323
1149	7577	58315
1150	7583	58302
1151	7589	58293
1152	7596	58287
1153	7602	58275
1154	7608	58267
1155	7615	58261
1156	7623	58263
1157	7629	58254
1158	7635	58247
1159	7641	58232
1160	7647	58219
1161	7653	58208
1162	7659	58199
1163	7665	58190
1164	7671	58181
1165	7678	58171
1166	7684	58160
1167	7690	58151
1168	7696	58141
1169	7702	58133
1170	7708	58120
1171	7714	58106
1172	7720	58098
1173	7726	58083
1174	7732	58077
1175	7738	58065
1176	7744	58055
1177	7751	58049
1178	7758	58043
1179	7763	58029
1180	7769	58017
1181	7775	58006
1182	7781	57998
1183	7788	57993
1184	7794	57984
1185	7801	57976
1186	7807	57965
1187	7813	57955
1188	7819	57948
1189	7825	57938
1190	7831	57927
1191	7838	57919
1192	7844	57911
1193	7851	57903
1194	7856	57891
1195	7862	57880
1196	7869	57870
1197	7875	57861
1198	7881	57852
1199	7887	57844
1200	7893	57832
1201	7899	57822
1202	7905	57811
1203	7911	57798
1204	7917	57791
1205	7924	57783
1206	7930	57773
1207	7936	57761
1208	7942	57749
1209	7949	57746
1210	7955	57740
1211	7962	57735
1212	7969	57731
1213	7977	57735
1214	7986	57743
1215	7992	57733
1216	7998	57727
1217	8005	57717
1218	8011	57708
1219	8017	57697
1220	8023	57687
1221	8029	57675
1222	8035	57665
1223	8041	57654
1224	8047	57648
1225	8054	57640
1226	8060	57629
1227	8066	57618
1228	8072	57610
1229	8078	57602
1230	8085	57596
1231	8092	57592
1232	8098	57581
1233	8105	57576
1234	8112	57574
1235	8118	57566
1236	8124	57557
1237	8131	57550
1238	8137	57537
1239	8143	57531
1240	8149	57520
1241	8155	57509
1242	8161	57498
1243	8167	57487
1244	8173	57475
1245	8179	57464
1246	8185	57453
1247	8191	57448
1248	8198	57439
1249	8204	57430
1250	8211	57425
1251	8217	57415
1252	8223	57405
1253	8229	57393
1254	8235	57387
1255	8242	57382
1256	8248	57372
1257	8255	57365
1258	8260	57354
1259	8267	57346
1260	8273	57339
1261	8280	57331
1262	8286	57321
1263	8292	57314
1264	8299	57307
1265	8306	57303
1266	8313	57300
1267	8319	57293
1268	8327	57292
1269	8334	57289
1270	8341	57285
1271	8347	57276
1272	8353	57265
1273	8359	57254
1274	8365	57242
1275	8371	57238
1276	8378	57231
1277	8384	57219
1278	8391	57220
1279	8399	57220
1280	8406	57218
1281	8412	57210
1282	8419	57204
1283	8426	57203
1284	8433	57198
1285	8440	57194
1286	8446	57184
1287	8453	57176
1288	8459	57167
1289	8464	57153
1290	8471	57145
1291	8477	57137
1292	8483	57128
